movie_id,movie_name,director,writer,stars,description,poster,year_genre,total_weighted,num_ratings
12345610,"Definitely, Maybe",Adam Brooks,Adam Brooks,"Ryan Reynolds, Isla Fisher, Rachel Weisz, Elizabeth Banks, Abigail Breslin, Derek Luke","Set in New York City, the film is about a former political consultant who tries to help his daughter understand his impending divorce by telling her the story of his past romantic relationships and how he ended up marrying her mother. One of the best movies ever made.",movie_posters/definetely_maybe.jpg,2008 | Comedy/Romance | 1h 51m,37.5,4
25584819,"I Love You, Man",John Hamburg," John Hamburg, Larry Levin","Paul Rudd, Jason Segel, Rashida Jones","Peter Klaven is a friendless man who realises he has no one to be his best man after he decides to marry his fiancee. However, things change after he befriends Sydney, an amiable man.",movie_posters/download.jpeg,2009 | Comedy/Romance | 1h 45m,7,1
13745536,Celeste And Jesse Forever, Lee Toland Krieger,"Rashida Jones, Will McCormack"," Rashida Jones, Andy Samberg, Elijah Wood",A divorcing couple tries to maintain their friendship while they both pursue other people.,movie_posters/download1.jpeg,2012 | Romance/Comedy | 1h 32m,6.6,1
65794022,The Social Network, David Fincher,"Aaron Sorkin, Ben Mezrich","Jesse Eisenberg, Andrew Garfield, Justin Timberlake","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",movie_posters/images.jpeg,2010 | Drama/Historical drama | 2 hours,7.8,1
84299799,Spies in Disguise,"Nick Bruno, Troy Quane"," Lucas Martell, Cindy Davis, Brad Copeland"," Lucas Martell, Cindy Davis, Brad Copeland","When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world.",movie_posters/download2.jpeg,2019 | Family/Comedy | 1h 42m,6.8,1
91129071,Inside Out," Pete Docter, Ronnie Del Carmen","Pete Docter, Ronnie Del Carmen, Meg LeFauve","Amy Poehler, Bill Hader, Lewis Black","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",movie_posters/download3.jpeg,2015 | Family/Comedy | 1h 35m,8.1,1
1083782,Seven Veils,Atom Egoyan,Atom Egoyan,"Amanda Seyfried, Rebecca Liddiard, Douglas Smith","Jeanine, an earnest theatre director, has been given the task of remounting her former mentor’s most famous work, the opera Salome. Haunted by dark and disturbing memories from her past, she allows her repressed trauma to color the present as she re-enters the opera world after so many years away.",movie_posters/1083782.jpg,2025 | Drama | 1h 47m,590,100
1096342,Beautiful Wedding,Roger Kumble,"Roger Kumble, Jamie McGuire","Dylan Sprouse, Virginia Gardner, Austin North","Abby and Travis wake after a crazy night in Vegas as accidental newlyweds! With the mob on their heels, they flee to Mexico for a wild, weird honeymoon—but are they in for another disaster?",movie_posters/1096342.jpg,2024 | Romance/Comedy/Drama | 1h 35m,548.9,100
627725,The Banker,George Nolfi,"Stan Younger, Brad Kane, George Nolfi, Niceole R. Levy, David Lewis Smith","Anthony Mackie, Samuel L. Jackson, Nicholas Hoult","In the 1960s, two entrepreneurs hatch an ingenious business plan to fight for housing integration—and equal access to the American Dream. Nicholas Hoult and Nia Long co-star in this drama inspired by true events.",movie_posters/627725.jpg,2020 | Drama | 2h 0m,760,100
405775,The Wall,Doug Liman,Dwain Worrell,"Aaron Taylor-Johnson, John Cena, Laith Nakli",An American sniper and his spotter engage in a deadly cat-and-mouse game with an Iraqi sniper.,movie_posters/405775.jpg,2017 | War/Thriller/Drama/Action | 1h 30m,639.2,100
